Tree#,Groups,WScore
1,1_HALO_1A-23_11_20_1_3,0.647257
1,20_HALO_4C-23_11_20_1_3,0.719886
1,21_HALO_5C-23_11_20_1_3,0.700921
1,22_HALO_6C-23_11_20_1_3,0.694207
1,23_11_20_1_1-23_11_20_1_3,0.151356
1,23_11_20_1_2-23_11_20_1_3,0.405879
1,10_G2_HG-23_11_20_2_1,0.922229
1,10_HALO_2B-23_11_20_2_1,0.551475
1,11_HALO_3B-23_11_20_2_1,0.554887
1,12_HALO_4B-23_11_20_2_1,0.555843
1,12_W_plus_3_G1-23_11_20_2_1,0.938428
1,13_HALO_5B-23_11_20_2_1,0.54668
1,13_W_plus_3_G11-23_11_20_2_1,0.942953
1,14_HALO_6B-23_11_20_2_1,0.538511
1,14_W_plus_3_H6-23_11_20_2_1,0.936955
1,15_HALO_7B-23_11_20_2_1,0.541234
1,16_HALO_8B-23_11_20_2_1,0.572472
1,17_HALO_1C-23_11_20_2_1,0.531583
1,17_S6_g11-23_11_20_2_1,0.958975
1,18_11_20_1_1-23_11_20_2_1,0.65055
1,18_11_20_1_2-23_11_20_2_1,0.369271
1,18_11_20_1_3-23_11_20_2_1,0.666334
1,18_11_20_2_1-23_11_20_2_1,0.660302
1,18_11_20_2_2-23_11_20_2_1,0.603612
1,18_11_20_2_3-23_11_20_2_1,0.663912
1,18_11_20_3_1-23_11_20_2_1,0.700901
1,18_11_20_3_2-23_11_20_2_1,0.762076
1,18_11_20_3_3-23_11_20_2_1,0.330772
1,18_HALO_2C-23_11_20_2_1,0.564905
1,18_S6_H6-23_11_20_2_1,0.920273
1,19_HALO_3C-23_11_20_2_1,0.5541
1,1_HALO_1A-23_11_20_2_1,0.488846
1,20_HALO_4C-23_11_20_2_1,0.574392
1,21_HALO_5C-23_11_20_2_1,0.548746
1,22_HALO_6C-23_11_20_2_1,0.545892
1,23_11_20_1_1-23_11_20_2_1,0.551446
1,23_11_20_1_2-23_11_20_2_1,0.297331
1,23_11_20_1_3-23_11_20_2_1,0.480806
1,10_G2_HG-23_11_20_2_2,0.877382
1,10_HALO_2B-23_11_20_2_2,0.617195
1,11_HALO_3B-23_11_20_2_2,0.623623
